,Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Res,Closed Date,Funnel,In Analysis,Backlog,In Implementation,Blocker,Completed,Monitoring,Done,Resolution,CycleDays
547,The APP ART,,THEAPP-1207,Feature,Done,20.07.2021 14:20,App ART Funnel|Greatwall|,,05.08.2021 16:55,Done ,2021-12-15 08:46:00,0,23194,97462,55927,36199,0,0,466919,Done ,147.77
551,The APP ART,,THEAPP-1198,Feature,Done,19.07.2021 15:40,App ART Funnel|Greatwall|,,30.08.2021 18:10,Done ,2022-09-22 08:35:00,0,60630,61390,164132,332621,0,0,62289,Done ,429.7
553,The APP ART,,THEAPP-1196,Feature,Done,19.07.2021 07:32,App ART Funnel|Greatwall|,,23.07.2021 12:37,Done ,2022-02-11 08:25:00,0,6064,55014,225568,11484,0,0,383420,Done ,207.03
555,The APP ART,,THEAPP-1193,Feature,Done,15.07.2021 08:35,App ART Funnel|Greatwall|,,05.08.2021 16:51,Done ,2021-10-12 09:23:00,0,30735,97472,0,0,0,0,559041,Done ,89.03
566,The APP ART,,THEAPP-1180,Feature,Done,07.07.2021 10:21,App ART Funnel|Greatwall|,,05.08.2021 16:50,Done ,2021-10-12 10:46:00,0,42148,97475,79,0,0,0,558959,Done ,97.02
567,The APP ART,,THEAPP-1179,Feature,Done,07.07.2021 10:15,App ART Funnel|Greatwall|,,05.08.2021 16:50,Done ,2021-11-26 13:19:00,0,42154,36042,126467,0,0,0,494005,Done ,142.13
571,The APP ART,,THEAPP-1173,Feature,Done,02.07.2021 15:19,App ART Funnel|Greatwall|,,08.09.2021 15:12,Done ,2022-02-08 11:12:00,0,129325,99362,60334,28969,0,0,387572,Done ,220.83
572,The APP ART,,THEAPP-1172,Feature,Done,02.07.2021 15:18,App ART Funnel|Greatwall|,,08.09.2021 15:13,Done ,2022-03-08 11:11:00,0,129324,99371,129617,0,0,0,347253,Done ,248.83
573,The APP ART,,THEAPP-1171,Feature,Done,02.07.2021 15:11,App ART Funnel|Greatwall|Stromberg|,,24.08.2021 11:29,Done ,2022-02-16 04:52:00,0,168551,51504,109084,0,0,0,376432,Done ,228.57
574,The APP ART,,THEAPP-1170,Feature,Done,02.07.2021 14:30,App ART Funnel|Greatwall|Mario|,,15.07.2021 12:13,Done ,2021-11-26 13:23:00,0,49091,97485,65035,0,0,0,494001,Done ,146.95
575,The APP ART,,THEAPP-1169,Feature,Done,02.07.2021 11:35,CR|SPECTRE|VICI|,,07.10.2021 15:51,Done ,2022-04-12 14:14:00,0,139936,198169,50470,20541,0,0,296671,Done ,284.11
576,The APP ART,,THEAPP-1168,Feature,Done,01.07.2021 17:49,App ART Funnel|P&S|Release 3.0|Release 3.1|Stromberg|,,21.07.2021 13:50,Done ,2022-08-05 22:37:00,0,28561,237192,277512,33020,0,0,130567,Done ,400.2
577,The APP ART,,THEAPP-1167,Feature,Backlog,01.07.2021 17:44,App ART Funnel|P&S|Release 3.0|Release 3.1|Stromberg|,,21.07.2021 13:51,Done ,2022-01-31 13:25:00,0,28567,664035,0,0,0,0,14257,Done ,480.97
578,The APP ART,,THEAPP-1165,Feature,Done,01.07.2021 08:54,Android|App ART Funnel|iOS|P&S|Release 1.0|Release 2.0|Release 3.0|Release 3.1|Release 3.2|Stromberg|,,28.09.2021 16:35,Done ,2021-09-28 16:35:00,0,128621,0,0,0,0,0,578769,Done ,89.32
580,The APP ART,,THEAPP-1162,Feature,Done,30.06.2021 16:28,App ART Funnel|P&S|Release 3.0|Release 3.1|Stromberg|,,21.07.2021 13:51,Done ,2021-08-19 11:03:00,0,30083,41591,0,0,0,0,636701,Done ,49.77
581,The APP ART,,THEAPP-1161,Feature,Done,30.06.2021 10:57,App ART Funnel|P&S|Release 3.0|Release 3.1|Stromberg|,,21.07.2021 13:52,Done ,2022-05-12 12:17:00,0,30415,194130,230572,0,0,0,253588,Done ,316.05
582,The APP ART,,THEAPP-1160,Feature,Done,30.06.2021 07:50,App ART Funnel|Greatwall|SPECTRE|,,30.06.2021 16:04,Done ,2022-07-06 15:27:00,0,72302,77555,242542,142292,0,0,174198,Done ,371.31
583,The APP ART,,THEAPP-1159,Feature,Done,29.06.2021 07:36,App ART Funnel|Greatwall|Griffin|Lebowski|,,23.07.2021 12:37,Done ,2021-11-26 12:37:00,0,34860,55014,126425,0,0,0,494048,Done ,150.21
592,The APP ART,,THEAPP-1142,Feature,Done,16.06.2021 09:35,Android|App ART Funnel|Backend|iOS|Mario|P&S|Release 3.0|Release 3.1|Release 3.2|Release 4.0|,,25.05.2022 10:46,Done ,2022-05-25 10:46:00,0,493990,0,0,0,0,0,234959,Done ,343.05
593,The APP ART,,THEAPP-1140,Feature,Done,15.06.2021 11:30,Android|App ART Funnel|Backend|Griffin|iOS|Lebowski|P&S|VICI|,,23.06.2021 15:39,Done ,2021-11-30 13:08:00,0,30669,90380,120967,0,0,0,488256,Done ,168.07
595,The APP ART,,THEAPP-1136,Feature,Completed,09.06.2021 11:32,App ART Funnel|Griffin|P&S|Release 3.0|Release 3.1|Stromberg|,,21.07.2021 13:53,Done ,2022-01-12 17:18:00,0,69691,67198,102652,0,426086,0,73278,Done ,166.35
596,The APP ART,,THEAPP-1135,Feature,Done,08.06.2021 10:47,App ART Funnel|CR|Lebowski|P&S|VICI|,,23.09.2021 16:19,Done ,2022-03-18 15:33:00,0,191027,37921,178854,0,0,0,332591,Done ,283.2
601,The APP ART,,THEAPP-1126,Feature,Done,26.05.2021 18:14,Android|App ART Funnel|Backend|iOS|Release 3.1|Stark|,,04.08.2021 15:48,Done ,2022-03-17 16:47:00,0,100654,149431,154283,20342,0,0,333957,Done ,294.94
603,The APP ART,,THEAPP-1122,Feature,Done,20.05.2021 11:29,Greatwall|Griffin|P&S|,,30.06.2021 15:37,Done ,2022-02-09 12:57:00,0,190342,70408,120936,0,0,0,386027,Done ,265.06
609,The APP ART,,THEAPP-1114,Feature,Done,17.05.2021 15:05,P&S|Skywalker|,,17.05.2021 15:44,Done ,2021-09-29 14:15:00,0,64533,57496,65061,0,7256,0,577470,Done ,129.92
610,The APP ART,,THEAPP-1111,Feature,Done,11.05.2021 16:55,App ART Funnel|P&S|Release 2.0|Release 3.0|Release 3.1|Release 3.2|Release 4.0|Skywalker|,,08.10.2021 16:49,Done ,2022-07-18 10:48:00,0,220304,378701,24146,0,0,0,157196,Done ,432.74
611,The APP ART,,THEAPP-1110,Feature,Done,11.05.2021 16:27,Greatwall|Griffin|P&S|,,18.05.2021 12:06,Done ,2021-10-19 13:05:00,0,9819,80725,141092,0,0,0,548740,Done ,160.86
613,The APP ART,,THEAPP-1101,Feature,Done,07.05.2021 15:57,Stark|,,30.06.2021 14:27,Done ,2022-08-01 12:31:00,0,77670,461978,109583,0,0,0,136934,Done ,450.85
626,The APP ART,,THEAPP-1072,Feature,Done,06.05.2021 14:14,Pikachu|Release 3.0|Release 3.1|Release 4.0|,,31.01.2022 13:26,Done ,2022-01-31 13:26:00,0,388751,0,0,0,0,0,398958,Done ,269.97
629,The APP ART,,THEAPP-1035,Feature,Done,05.05.2021 13:51,CR|Lebowski|P&S|,,30.06.2021 15:45,Done ,2021-10-12 18:59:00,0,92035,122266,16404,0,0,0,558465,Done ,160.21
632,The APP ART,,THEAPP-1032,Feature,Done,05.05.2021 08:49,App ART Funnel|CR|P&S|Release 1.0|Release 2.0|Release 3.0|Release 3.1|Release 3.2|Release 4.0|,,05.05.2021 14:26,Done ,2021-07-15 14:12:00,0,337,79090,23135,0,0,0,686912,Done ,71.22
638,The APP ART,,THEAPP-914,Feature,Done,29.04.2021 15:56,Griffin|Mario|P&S|,,29.04.2021 16:02,Done ,2021-10-12 16:07:00,0,5,148159,90884,0,0,0,558638,Done ,166.01
639,The APP ART,,THEAPP-907,Feature,Done,29.04.2021 09:14,App ART Funnel|Greatwall|P&S|Release 3.0|Release 3.1|,,19.05.2021 15:16,Done ,2022-03-25 02:57:00,81874,89680,258857,44118,291,0,0,323267,Done ,272.88
640,The APP ART,,THEAPP-890,Feature,Done,28.04.2021 17:06,App ART Funnel|Backend|P&S|Release 3.1|Release 3.2|,,05.05.2021 15:38,Done ,2021-09-29 10:40:00,0,9992,77528,133853,0,0,0,577684,Done ,153.73
642,The APP ART,,THEAPP-853,Feature,Done,27.04.2021 11:33,App ART Funnel|Griffin|P&S|Release 3.0|Release 3.1|Skywalker|,,27.04.2021 11:35,Done ,2021-08-24 12:57:00,0,29032,71724,70685,0,0,0,629388,Done ,119.06
644,The APP ART,,THEAPP-784,Feature,Done,23.04.2021 17:03,,,10.05.2021 15:29,Done ,2021-05-10 15:29:00,0,24385,0,0,0,0,0,781876,Done ,16.93
646,The APP ART,,THEAPP-764,Feature,Done,23.04.2021 10:56,CR|VICI|,,23.04.2021 10:57,Done ,2021-07-27 13:33:00,0,0,66869,70086,0,0,0,669671,Done ,95.11
648,The APP ART,,THEAPP-758,Feature,Done,22.04.2021 15:15,App ART Funnel|CR|Lebowski|P&S|VICI|,,23.04.2021 08:34,Done ,2021-10-05 13:16:00,0,1039,157131,141217,0,0,0,508419,Done ,207.91
650,The APP ART,,THEAPP-756,Feature,Done,22.04.2021 14:19,CR|P&S|,,22.04.2021 16:33,Done ,2021-07-08 16:55:00,0,1181,56245,42033,11572,0,0,696829,Done ,77.1
651,The APP ART,,THEAPP-755,Feature,Done,22.04.2021 13:43,App ART Funnel|CR|P&S|VICI|,,22.04.2021 14:27,Done ,2021-08-24 07:51:00,2,44,68096,110064,0,0,0,629693,Done ,123.75
652,The APP ART,,THEAPP-754,Feature,Done,22.04.2021 09:48,App ART Funnel|P&S|PCS|Release 1.0|Release 2.0|Release 3.0|Release 3.1|Release 3.2|Release 4.0|,,07.05.2021 14:55,Done ,2021-09-09 10:17:00,0,21906,15615,164106,0,0,0,606507,Done ,140.02
654,The APP ART,,THEAPP-748,Feature,Done,21.04.2021 12:07,App ART Funnel|P&S|Release 3.0|Release 3.1|Stromberg|,,23.06.2021 15:55,Done ,2022-05-31 11:13:00,0,131052,103536,348557,0,0,0,226292,Done ,404.96
655,The APP ART,,THEAPP-745,Feature,Done,20.04.2021 17:41,Lebowski|P&S|Release 2.0|Release 3.1|,,30.06.2021 16:14,Done ,2022-07-19 10:52:00,80759,143789,97638,230723,0,101879,0,155752,Done ,327.88
656,The APP ART,,THEAPP-744,Feature,Done,19.04.2021 12:51,App ART Funnel|CR|Release 1.0|Release 2.0|Release 3.0|Release 3.1|Release 3.2|Release 4.0|,,20.04.2021 15:50,Done ,2021-06-23 20:47:00,0,1618,60321,32135,0,0,0,718197,Done ,65.33
663,The APP ART,,THEAPP-706,Feature,Done,15.04.2021 16:55,App ART Funnel|Griffin|Lebowski|P&S|Release 3.0|Release 3.1|,,07.05.2021 14:55,Done ,2021-09-29 10:38:00,0,31559,76182,93429,38930,0,0,577687,Done ,166.74
665,The APP ART,,THEAPP-704,Feature,Done,15.04.2021 09:23,Lebowski|P&S|Release 1.0|Release 2.0|Release 3.0|Release 3.1|SPECTRE|,,09.12.2021 08:17,Done ,2022-08-05 09:29:00,0,352736,219181,73513,40164,1288,0,131355,Done ,476.11
666,The APP ART,,THEAPP-703,Feature,Done,15.04.2021 09:17,P&S|Release 1.0|Release 2.0|Release 3.0|Release 3.1|,,19.04.2021 09:40,Done ,2021-07-21 10:07:00,0,8961,38668,92098,0,0,0,678518,Done ,97.03
667,The APP ART,,THEAPP-702,Feature,Done,15.04.2021 09:11,P&S|Release 1.0|Release 2.0|Release 3.0|Release 3.1|,,19.04.2021 09:41,Done ,2021-07-21 10:07:00,0,8967,38667,92099,0,0,0,678517,Done ,97.04
668,The APP ART,,THEAPP-701,Feature,Done,15.04.2021 09:04,P&S|Release 1.0|Release 2.0|Release 3.0|Release 3.1|,,19.04.2021 09:41,Done ,2021-07-21 10:07:00,0,8975,38667,92099,0,0,0,678517,Done ,97.04
669,The APP ART,,THEAPP-693,Feature,Done,14.04.2021 08:49,App ART Funnel|Griffin|P&S|Release 2.0|Release 3.0|Release 3.1|Release 4.0|Stark|,,23.06.2021 15:57,Done ,2022-08-05 22:28:00,0,120149,271564,297424,0,0,0,130576,Done ,478.57
672,The APP ART,,THEAPP-619,Feature,Done,08.04.2021 11:19,CR|Griffin|Mario|P&S|,,08.04.2021 13:07,Done ,2021-07-06 08:56:00,0,18919,108158,938,0,0,0,700188,Done ,88.9
677,The APP ART,,THEAPP-591,Feature,Done,25.03.2021 10:26,App ART Funnel|CR|VICI|,,23.02.2022 16:06,Done ,2022-09-02 14:16:00,0,563140,78101,116426,0,0,0,90749,Done ,526.16
678,The APP ART,,THEAPP-589,Feature,Done,23.03.2021 18:47,App ART Funnel|CR|P&S|PCS|VICI|,,26.03.2021 12:49,Done ,2021-08-10 13:12:00,0,61646,38818,100799,0,0,0,649533,Done ,139.77
681,The APP ART,,THEAPP-584,Feature,Completed,23.03.2021 11:27,App ART Funnel|P&S|Release 3.0|Release 3.1|Stromberg|,,07.04.2021 14:12,Done ,2021-12-21 11:46:00,0,41963,119443,231408,0,458098,0,321,Done ,272.79
682,The APP ART,,THEAPP-583,Feature,Completed,23.03.2021 11:14,App ART Funnel|P&S|Release 3.0|Release 3.1|,,07.04.2021 14:12,Done ,2021-12-21 11:46:00,0,41977,70719,280124,0,458098,0,329,Done ,272.79
684,The APP ART,,THEAPP-572,Feature,Done,12.03.2021 10:29,App ART Funnel|Backend|CR|Griffin|P&S|,,21.04.2021 16:19,Done ,2021-08-24 13:13:00,0,57949,99170,80643,0,0,0,629372,Done ,165.11
687,The APP ART,,THEAPP-540,Feature,Done,01.03.2021 19:15,App ART Funnel|P&S|Release 3.0|Release 3.1|,,01.03.2021 19:16,Done ,2021-08-24 12:57:00,0,1,123250,129809,0,0,0,629387,Done ,175.74
693,The APP ART,,THEAPP-517,Feature,Done,05.02.2021 13:56,App ART Funnel|P&S|Release 3.0|Release 3.1|,,05.02.2021 14:07,Done ,2021-08-24 12:57:00,20120,87454,79493,100870,0,0,0,629387,Done ,185.98
694,The APP ART,,THEAPP-516,Feature,Done,05.02.2021 13:34,App ART Funnel|P&S|Release 3.0|Release 3.1|,,05.02.2021 14:07,Done ,2021-08-24 12:57:00,20119,48794,89237,129809,0,0,0,629387,Done ,186.0
696,The APP ART,,THEAPP-514,Feature,Done,04.02.2021 14:52,App ART Funnel|P&S|Release 3.0|Release 3.1|,,04.02.2021 14:59,Done ,2021-08-24 12:57:00,20120,58469,80924,129809,0,0,0,629387,Done ,186.95
697,The APP ART,,THEAPP-513,Feature,Done,04.02.2021 14:33,App ART Funnel|P&S|Release 3.0|Release 3.1|,,04.02.2021 14:49,Done ,2021-08-24 12:58:00,20120,52668,86744,129809,0,0,0,629387,Done ,186.96
698,The APP ART,,THEAPP-512,Feature,Done,04.02.2021 14:11,App ART Funnel|P&S|Release 3.0|Release 3.1|,,04.02.2021 14:32,Done ,2021-04-28 09:51:00,0,11565,55827,50686,1179,0,0,799493,Done ,82.82
700,The APP ART,,THEAPP-503,Feature,Done,27.01.2021 12:26,App ART Funnel|PCS|,,27.01.2021 12:29,Done ,2021-08-10 08:27:00,1,4,52012,228541,0,0,0,649817,Done ,194.83
702,The APP ART,,THEAPP-500,Feature,Done,22.01.2021 10:03,Android|App ART Funnel|Backend|CR|iOS|VICI|,,01.07.2021 16:01,Done ,2021-10-05 13:18:00,0,260801,47553,60479,0,0,0,568886,Done ,256.13
703,The APP ART,,THEAPP-499,Feature,Done,21.01.2021 16:54,App ART Funnel|CR|Lebowski|P&S|Skywalker|,,22.01.2021 10:30,Done ,2021-11-22 18:07:00,0,17129,422143,0,0,0,0,499477,Done ,305.05
704,The APP ART,,THEAPP-498,Feature,Done,21.01.2021 16:13,App ART Funnel|CR|P&S|,,22.01.2021 10:31,Done ,2021-04-14 14:14:00,0,17167,30170,72061,0,0,0,819391,Done ,82.92
705,The APP ART,,THEAPP-497,Feature,Done,21.01.2021 14:49,CR|Lebowski|VICI|,,21.01.2021 14:49,Done ,2021-11-02 13:36:00,0,8556,300953,100817,0,0,0,528548,Done ,284.95
707,The APP ART,,THEAPP-480,Feature,Done,12.01.2021 18:13,App ART Funnel|P&S|Release 1.0|Release 2.0|Release 3.0|Release 3.1|Release 4.0|,,09.02.2021 14:44,Done ,2021-05-05 15:12:00,0,40112,94684,27741,0,0,0,789092,Done ,112.87
708,The APP ART,,THEAPP-478,Feature,Done,17.12.2020 11:05,App ART Funnel|P&S|Release 3.0|Release 3.1|,,20.01.2021 15:47,Done ,2021-10-06 15:22:00,0,282602,0,139573,0,0,0,567323,Done ,293.18
710,The APP ART,,THEAPP-470,Feature,Done,07.12.2020 15:07,CR|P&S|,,09.12.2020 09:55,Done ,2021-05-06 19:04:00,0,2567,0,213668,0,0,0,787420,Done ,150.16
712,The APP ART,,THEAPP-468,Feature,Done,07.12.2020 13:52,CR|Lebowski|VICI|,,14.01.2021 12:22,Done ,2021-11-02 13:36:00,0,73413,300952,100816,0,0,0,528549,Done ,329.99
717,The APP ART,,THEAPP-462,Feature,Done,03.12.2020 18:28,Lebowski|P&S|Release 3.0|Release 3.1|Skywalker|,,20.01.2021 15:32,Done ,2022-07-12 10:14:00,116992,284462,119403,322484,0,0,0,165871,Done ,504.41
718,The APP ART,,THEAPP-461,Feature,Done,03.12.2020 14:50,P&S|Release 1.0|Release 2.0|Release 3.0|,,15.12.2020 13:35,Done ,2021-08-24 12:58:00,0,17204,50210,312631,0,0,0,629387,Done ,263.92
719,The APP ART,,THEAPP-460,Feature,Done,03.12.2020 14:15,App ART Funnel|P&S|Release 3.1|Release 4.0|,,20.01.2021 15:14,Done ,2021-04-22 14:37:00,0,110666,10406,70698,9848,0,0,807848,Done ,140.01
720,The APP ART,,THEAPP-457,Feature,Done,20.11.2020 17:16,CR|,,20.11.2020 17:19,Done ,2021-02-08 09:48:00,0,3,17117,97631,0,0,0,913256,Done ,79.69
721,The APP ART,,THEAPP-455,Feature,Done,19.11.2020 17:16,P&S|Release 1.0|Release 2.0|Release 3.0|,,19.11.2020 19:08,Done ,2021-05-05 15:08:00,0,112,86215,154023,0,0,0,789097,Done ,166.91
722,The APP ART,,THEAPP-454,Feature,Done,19.11.2020 16:19,CR|P&S|,,23.11.2020 12:17,Done ,2020-12-14 15:47:00,0,6963,19044,9958,0,0,0,993538,Done ,24.98
725,The APP ART,,THEAPP-451,Feature,Done,17.11.2020 15:17,App ART Funnel|Backend|CR|VICI|,,27.01.2021 13:27,Done ,2021-10-06 16:20:00,0,223353,58762,142750,40314,0,0,567265,Done ,323.04
728,The APP ART,,THEAPP-448,Feature,Done,17.11.2020 09:29,App ART Funnel|P&S|Release 3.1|,,10.02.2021 17:55,Done ,2021-09-09 10:17:00,0,184474,28895,212918,0,0,0,606507,Done ,296.03
735,The APP ART,,THEAPP-441,Feature,Completed,17.11.2020 09:04,App ART Funnel|P&S|Release 3.1|Release 3.2|Release 4.0|Stromberg|,,21.07.2021 13:33,Done ,2021-12-14 10:28:00,0,354508,89174,116400,75,468256,0,4401,Done ,389.0
737,The APP ART,,THEAPP-438,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 19:20,Done ,2021-04-23 10:12:00,0,123793,0,103132,0,0,0,806672,Done ,157.59
744,The APP ART,,THEAPP-431,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 18:45,Done ,2021-04-23 10:10:00,0,123758,0,103164,0,0,0,806674,Done ,157.58
745,The APP ART,,THEAPP-430,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 18:45,Done ,2021-04-23 10:11:00,0,123758,0,103166,0,0,0,806673,Done ,157.59
749,The APP ART,,THEAPP-426,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 19:10,Done ,2021-02-10 19:10:00,0,123783,0,0,0,0,0,909814,Done ,85.96
750,The APP ART,,THEAPP-425,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 19:11,Done ,2021-06-11 16:27:00,0,123783,0,174076,0,0,0,735737,Done ,206.85
755,The APP ART,,THEAPP-420,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 18:45,Done ,2021-04-23 10:09:00,0,123758,0,103164,0,0,0,806675,Done ,157.58
758,The APP ART,,THEAPP-417,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 18:46,Done ,2021-06-11 16:25:00,0,123759,0,174098,0,0,0,735739,Done ,206.85
759,The APP ART,,THEAPP-416,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 19:09,Done ,2021-06-11 16:26:00,0,123782,0,174076,0,0,0,735739,Done ,206.85
764,The APP ART,,THEAPP-410,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 18:45,Done ,2021-04-23 10:12:00,0,123758,0,103166,0,0,0,806673,Done ,157.59
765,The APP ART,,THEAPP-409,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 19:13,Done ,2021-06-11 16:32:00,0,123786,0,174078,0,0,0,735733,Done ,206.85
766,The APP ART,,THEAPP-408,Feature,Done,16.11.2020 20:07,App ART Funnel|P&S|Release 4.0|,,10.02.2021 19:11,Done ,2021-04-23 10:13:00,0,123784,0,103141,0,0,0,806672,Done ,157.59
778,The APP ART,,THEAPP-394,Feature,Done,16.11.2020 12:06,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:37,Done ,2021-04-09 13:42:00,0,124231,0,78872,4351,0,0,826623,Done ,144.07
782,The APP ART,,THEAPP-390,Feature,Done,16.11.2020 12:00,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:37,Done ,2021-04-16 09:13:00,0,124237,0,93035,0,0,0,816811,Done ,150.88
784,The APP ART,,THEAPP-388,Feature,Done,16.11.2020 11:57,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:31,Done ,2021-04-22 14:33:00,0,124233,0,102001,0,0,0,807852,Done ,157.11
785,The APP ART,,THEAPP-387,Feature,Done,16.11.2020 11:56,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:31,Done ,2021-03-08 13:10:00,0,124235,0,37118,0,0,0,872735,Done ,112.05
787,The APP ART,,THEAPP-384,Feature,Done,16.11.2020 11:49,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:18,Done ,2021-03-12 10:10:00,0,124228,0,42712,0,0,0,867154,Done ,115.93
788,The APP ART,,THEAPP-383,Feature,Done,16.11.2020 11:48,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:26,Done ,2021-04-09 13:30:00,0,124237,0,83224,0,0,0,826634,Done ,144.07
789,The APP ART,,THEAPP-382,Feature,Done,16.11.2020 11:47,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:31,Done ,2021-04-09 13:26:00,0,124244,0,83215,0,0,0,826638,Done ,144.07
790,The APP ART,,THEAPP-381,Feature,Done,16.11.2020 11:45,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:38,Done ,2021-04-09 13:23:00,0,124252,0,83205,0,0,0,826641,Done ,144.07
791,The APP ART,,THEAPP-380,Feature,Done,16.11.2020 11:44,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:31,Done ,2021-03-12 10:07:00,0,124246,0,42696,0,0,0,867157,Done ,115.93
792,The APP ART,,THEAPP-379,Feature,Done,16.11.2020 11:41,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:12,Done ,2021-03-12 10:04:00,0,124231,0,42711,0,0,0,867160,Done ,115.93
793,The APP ART,,THEAPP-378,Feature,Done,16.11.2020 11:40,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:24,Done ,2021-03-19 13:38:00,0,124243,0,52994,0,0,0,856866,Done ,123.08
794,The APP ART,,THEAPP-377,Feature,Done,16.11.2020 11:40,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:12,Done ,2021-02-10 18:12:00,0,124232,0,0,0,0,0,909872,Done ,86.27
795,The APP ART,,THEAPP-376,Feature,Done,16.11.2020 11:39,App ART Funnel|P&S|Release 3.1|,,10.02.2021 18:11,Done ,2021-03-12 10:06:00,0,124232,0,42714,0,0,0,867158,Done ,115.93
